TRAVEL_ID,ADV_NM,ADV_SEQ,PAYMENT_NUM,BRNO,STORE_NM,ROAD_NM_ADDR,LOTNO_ADDR,ROAD_NM_CD,LOTNO_CD,PAYMENT_DT,PAYMENT_MTHD_SE,PAYMENT_AMT_WON,PAYMENT_ETC,SGG_CD
g_g001077,고기 회 술 텐트 의자 수저,1,4,2068650913.0,이마트,충남 서산시 서해로 3685,충남 서산시 잠홍동 463,3000117.0,4421010500.0,2023-06-03 17:06,1,211080,3단 접이식 캠핑매트;파머스틱 1+ 등급란 1;소소 베이직 수저2인;GAP추부깻잎;활광어회(대),
g_g001086,고속버스 티켓,0,2,,서울 경부 고속버스터미널,신반포로 194,,,,,1,43800,,1165010700.0
g_g001114,숙소,1,2,2208742885.0,(주)야놀자,서울 강남구 테헤란로108길 42,서울 강남구 대치동 1003,4166713.0,1168010600.0,2023-05-22 16:18,1,95000,대전 유성 렉시,
g_g001138,고기 맥주,0,3,,삽교농협내포농수산물종합유통센터,,,,,,4,44160,,4481025327.0
g_g001144,옷,1,1,,김포공항롯데몰,서울 강서구 하늘길 38,서울 강서구 방화동 886,4145490.0,1150010900.0,2023-05-27 14:33,3,43800,DFDU3-WSV073;DFDU3-WKS261,
g_g001156,만두전골,0,3,,한성칼국수,28-1 한성칼국수,,,,,1,40000,,4129010500.0
g_g001227,식료품,1,3,2068650913.0,이마트,광주 광산구 사암로 172,광주 광산구 우산동 1598-3,3163014.0,2920010900.0,2023-06-03 11:04,1,48390,(A)파머스픽아삭이; (대)국내산삼겹살구이,
g_g001227,식료품,2,3,5448802258.0,유한회사 인재대양식자재마트,광주 광산구 어등대로 555,,2163001.0,2920010600.0,2023-06-02 19:13,1,52820,CJ균일가;수미칩 오리지널;크)빅파이 딸기;맛밤;JS)유부초밥박사,
g_g001231,고수동굴+다누리아쿠아리움 패키지 입장권,2,2,1138638602.0,(주)스마틱스,서울 영등포구 경인로 775,서울 영등포구 문래동3가 55-20,3000028.0,1156012100.0,2023-05-27 16:11,3,18900,고수동굴+다누리아쿠아리움패키지(5/1~7/31),
g_g001233,베어트리파크입장권,0,4,,베어트리파크입장권,송성리9,,,,,1,32760,,3611038000.0
g_g001256,고기 음료 주류 등,1,3,4108526640.0,이마트,광주 서구 죽봉대로 61,광주 서구 화정동 12-13,2009006.0,2914011900.0,2023-05-27 15:55,1,169080,,
g_g001258,마른안주와 과일 약간; 저녁으로 김밥 구매했습니다,0,5,,간식은 인터넷 구매(올웨이즈); 김밥은 정가네김밥,행정리 426-12,,,,,1,61000,,4159025939.0
g_g001289,정육,1,5,2068650913.0,(주)이마트,서울 성동구 뚝섬로 377,,3103010.0,1120011500.0,2023-05-26 16:24,1,44680,호주산와규(F1)바로구이,
g_g001290,고기,0,5,,이마트,333-16,,,,,1,44680,,1120011500.0
g_g001291,커피,1,2,2018121515.0,스타벅스,광주 광산구 사암로216번길 38-16,광주 광산구 우산동 1585-5,4289187.0,2920010900.0,2023-05-27 13:08,1,9000,I-T)아메리카노,
g_g001315,프로야구 티켓 입장권,1,4,1448125090.0,티켓링크,경기 성남시 분당구 대왕판교로645번길 16,경기 성남시 분당구 삼평동 629,4340055.0,4113510900.0,2023-06-03 00:00,1,52000,입장권,
g_g001322,서브웨이;스타벅스,0,2,,서브웨이 광화문 스타벅스 광화문,128-27,,,,,1,18000,,1111011700.0
g_g001337,캠핑용품 대여,0,2,,에이치 앤 에이치(H & H),산본로323번길 26-26 (씨티프라자) 4층  28호,,,,,1,101000,,4141010400.0
g_g001338,음료수,0,1,,이마트 24,하슬라로 27 강릉시외버스터미널,,,,,1,2000,,4215010100.0
g_g001343,캠핑때 먹을 것,1,5,8578501682.0,순천로컬푸드(주) 신대점,전남 순천시 해룡면 매안로 138,전남 순천시 해룡면 신대리 1980,3283040.0,4615031022.0,2023-06-03 12:06,3,56770,양파;호박;자연애나누미;돼지칼집삼겹;돼지목살;블루베리,
