,userID,itemID,SIDO
3013,e007597,민오름,제주특별자치도
3014,e007603,미유 애월점,제주특별자치도
3015,e007603,민오름,제주특별자치도
3016,e007606,민락수변공원,부산
3017,e007606,민락 회 타운 시장,부산
3018,e007607,미인폭포,강원
3019,e007607,민우당 서림,강원
3020,e007610,미인폭포,강원
3021,e007610,민우당 서림,강원
3022,e007621,미인폭포,강원
3023,e007621,민우당 서림,강원
3024,e007625,힐링파크쑥섬쑥섬,전남
3025,e007631,미인폭포,강원
3026,e007631,민우당 서림,강원
3027,e007634,밀양강,경남
3028,e007637,힐링파크쑥섬쑥섬,전남
3029,e007643,미르 섬,충남
3030,e007647,미인폭포,강원
3031,e007647,민우당 서림,강원
3032,e007653,힐링파크쑥섬쑥섬,전남
3033,e007656,미유 애월점,제주특별자치도
3034,e007656,민오름,제주특별자치도
3035,e007660,미인폭포,강원
3036,e007660,민우당 서림,강원
3037,e007673,미인폭포,강원
3038,e007673,민우당 서림,강원
3039,e007677,힐링파크쑥섬쑥섬,전남
3040,e007678,미인폭포,강원
3041,e007678,민우당 서림,강원
3042,e007679,미유 애월점,제주특별자치도
3043,e007679,민오름,제주특별자치도
3044,e007682,미유 애월점,제주특별자치도
3045,e007682,민오름,제주특별자치도
3046,e007690,미인폭포,강원
3047,e007690,민우당 서림,강원
3048,e007693,힐링파크쑥섬쑥섬,전남
3049,e007704,미유 애월점,제주특별자치도
3050,e007704,민오름,제주특별자치도
3051,e007714,밀리오레,서울
3052,e007743,미유 애월점,제주특별자치도
3053,e007743,민오름,제주특별자치도
3054,e007745,미인폭포,강원
3055,e007745,민우당 서림,강원
3056,e007746,밀란 더 마켓,부산
3057,e007746,민락수변공원,부산
3058,e007746,민락 회 타운 시장,부산
3059,e007748,미유 애월점,제주특별자치도
3060,e007748,민오름,제주특별자치도
3061,e007749,미유 애월점,제주특별자치도
3062,e007749,민오름,제주특별자치도
3063,e007753,미유 애월점,제주특별자치도
3064,e007753,민오름,제주특별자치도
3065,e007757,미유 애월점,제주특별자치도
3066,e007757,민오름,제주특별자치도
3067,e007759,미유 애월점,제주특별자치도
3068,e007759,민오름,제주특별자치도
3069,e007760,미유 애월점,제주특별자치도
3070,e007760,민오름,제주특별자치도
3071,e007761,밀리오레,서울
3072,e007762,힐링파크쑥섬쑥섬,전남
3073,e007764,미유 애월점,제주특별자치도
3074,e007764,민오름,제주특별자치도
3075,e007765,힐링파크쑥섬쑥섬,전남
3076,e007766,미인폭포,강원
3077,e007766,민우당 서림,강원
3078,e007767,밀리오레,서울
3079,e007770,미인폭포,강원
3080,e007770,민우당 서림,강원
3081,e007772,힐링파크쑥섬쑥섬,전남
3082,e007775,밀양강,경남
3083,e007779,미유 애월점,제주특별자치도
3084,e007779,민오름,제주특별자치도
3085,e007781,미인폭포,강원
3086,e007781,민우당 서림,강원
3087,e007788,미인폭포,강원
3088,e007788,민우당 서림,강원
3089,e007789,미인폭포,강원
3090,e007789,민우당 서림,강원
3091,e007791,힐링파크쑥섬쑥섬,전남
3092,e007792,미유 애월점,제주특별자치도
3093,e007792,민오름,제주특별자치도
3094,e007793,힐링파크쑥섬쑥섬,전남
3095,e007796,밀리오레,서울
3096,e007797,미유 애월점,제주특별자치도
3097,e007797,민오름,제주특별자치도
3098,e007802,힐링파크쑥섬쑥섬,전남
3099,e007803,밀란 더 마켓,부산
3100,e007803,민락수변공원,부산
3101,e007807,미유 애월점,제주특별자치도
3102,e007807,민오름,제주특별자치도
3103,e007809,미유 애월점,제주특별자치도
3104,e007809,민오름,제주특별자치도
3105,e007812,미인폭포,강원
3106,e007812,민우당 서림,강원
3107,e007815,미유 애월점,제주특별자치도
3108,e007815,민오름,제주특별자치도
3109,e007816,민락수변공원,부산
3110,e007816,민락 회 타운 시장,부산
3111,e007817,힐링파크쑥섬쑥섬,전남
3112,e007818,힐링파크쑥섬쑥섬,전남
3113,e007819,미인폭포,강원
3114,e007819,민우당 서림,강원
3115,e007821,밀리오레,서울
3116,e007825,미인폭포,강원
3117,e007825,민우당 서림,강원
3118,e007829,밀리오레,서울
3119,e007831,미인폭포,강원
