TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e000840,11,여,30,5,2,2,1,2,2,6,7,1,3,5,3
e000841,11,여,20,5,2,2,3,4,4,3,7,1,8,3,2
e000844,27,여,30,6,2,4,2,4,4,2,3,2,3,7,2
e000847,11,여,30,4,5,3,3,3,4,2,5,2,8,3,3
e000849,41,여,20,3,2,1,2,4,4,1,7,10,3,7,1
e000850,11,여,30,1,3,2,5,5,4,1,6,1,2,8,0
e000852,41,여,30,4,2,1,4,5,6,6,6,3,1,7,1
e000854,41,여,40,7,7,1,7,7,7,6,7,1,2,7,4
e000856,45,여,20,4,1,1,2,6,3,3,6,10,1,6,1
e000859,30,여,30,6,5,7,6,7,5,3,6,7,5,8,0
e000861,27,여,30,4,2,3,4,6,4,2,6,7,8,2,1
e000863,41,여,20,3,2,2,6,4,4,5,5,2,1,4,1
e000865,11,여,20,4,2,6,5,1,4,6,2,2,1,4,0
e000866,11,여,20,2,3,3,3,4,3,3,6,2,1,3,1
e000867,41,남,30,1,2,2,1,5,5,6,5,7,5,1,2
e000872,41,여,50,1,4,6,4,2,7,1,7,2,3,6,4
e000875,26,남,50,3,2,6,6,7,6,2,4,1,,,0
e000877,11,여,40,2,1,2,4,6,4,7,7,2,5,1,5
e000882,41,여,20,4,1,1,1,6,6,7,7,1,7,2,0
e000883,26,여,30,3,6,3,5,3,4,6,1,1,7,2,0
e000886,41,여,60,1,1,1,1,1,7,1,7,2,1,5,0
e000889,41,남,30,4,1,5,4,6,2,7,5,1,3,2,1
e000899,11,여,30,3,2,4,3,4,5,6,3,2,3,1,2
e000902,11,남,30,4,4,4,4,4,4,4,4,3,1,7,1
e000903,41,남,30,2,1,1,3,4,3,2,3,3,7,1,1
e000905,29,남,30,1,1,1,1,1,7,7,7,8,2,5,0
e000906,11,여,20,2,4,1,2,2,4,6,7,2,1,7,0
e000907,44,여,20,2,2,4,1,4,2,7,5,2,5,1,0
e000910,11,남,30,3,4,2,6,4,2,6,6,7,6,2,0
e000914,30,여,20,3,6,2,3,2,2,4,1,1,7,10,0
e000917,43,여,30,3,6,6,1,7,6,2,4,8,6,7,3
e000919,11,남,40,2,2,6,6,6,2,2,2,7,5,6,3
e000930,41,여,20,4,6,2,5,4,2,1,6,2,3,1,1
e000932,41,여,20,1,4,1,2,4,4,1,7,3,,,2
e000935,48,남,60,6,7,6,6,7,6,5,6,3,8,7,4
e000936,11,남,30,3,1,6,3,1,6,1,7,2,1,5,1
e000938,11,여,40,3,5,6,4,2,2,1,3,8,1,3,3
e000942,41,남,30,4,1,2,4,2,2,3,2,1,2,3,1
e000946,50,남,20,2,1,1,1,1,4,6,6,2,4,1,0
e000947,41,남,30,2,1,2,2,1,2,4,4,3,7,1,1
e000949,41,남,30,2,1,4,4,4,3,4,4,3,7,8,2
e000950,11,여,60,2,6,1,2,3,3,5,6,9,3,2,9
e000951,27,여,30,1,1,1,7,4,5,1,7,1,7,2,0
e000955,41,여,40,1,1,1,1,7,1,1,7,1,5,3,3
e000956,28,여,50,3,3,4,3,4,4,5,5,2,8,4,0
e000959,41,여,40,5,5,4,3,5,5,3,5,1,3,2,3
e000961,41,남,40,1,1,7,1,4,4,1,7,3,2,9,3
e000962,28,여,30,1,1,1,1,7,4,4,4,2,1,,2
e000964,11,여,30,1,1,4,1,1,1,7,4,5,1,4,0
e000966,11,남,60,6,6,5,7,6,5,7,1,3,6,5,4
e000967,44,여,30,6,3,2,4,4,6,5,5,3,1,2,3
e000969,11,여,40,2,3,1,1,3,5,1,3,6,8,2,0
e000973,28,여,60,2,2,4,2,2,2,1,5,3,1,9,3
e000976,41,남,40,1,4,4,4,1,4,4,4,1,2,7,0
e000983,11,남,50,1,3,1,2,1,1,7,5,4,10,1,0
e000984,41,여,30,2,2,4,2,3,4,1,2,3,1,2,1
e000986,41,여,30,4,2,3,3,5,5,3,7,1,2,5,0
e000987,41,여,20,6,6,2,2,6,6,4,2,3,1,,1
e000992,28,여,40,6,4,2,2,6,7,2,3,3,1,6,1
e000993,45,여,20,5,6,7,2,2,2,2,5,4,7,2,1
e000994,28,여,20,3,1,4,5,6,2,7,6,2,5,10,2
e000995,50,남,30,4,4,4,1,3,3,3,3,8,3,5,1
e000996,11,여,30,1,1,1,1,1,1,1,7,1,2,10,0
e000997,41,남,40,1,7,1,1,7,7,4,5,3,7,1,2
e000998,41,여,30,4,2,4,2,2,6,6,6,7,3,1,2
e000999,41,여,60,2,3,6,4,2,6,4,5,3,2,1,3
e001001,11,남,20,4,4,1,7,4,4,4,4,3,7,1,1
e001007,11,여,40,6,4,6,2,2,6,2,6,1,2,7,2
e001009,29,여,20,4,1,1,1,6,2,1,6,7,8,1,1
e001012,11,여,20,6,3,3,1,3,5,2,5,3,7,2,1
e001013,41,여,40,3,4,4,2,4,4,5,4,1,2,10,0
e001014,11,여,20,3,1,3,3,6,3,6,6,2,6,3,1
e001019,41,남,30,2,4,3,6,6,3,7,6,8,4,7,0
e001022,30,여,20,3,3,6,3,3,3,6,5,1,3,2,1
e001023,11,남,30,4,1,1,2,4,4,7,4,3,1,6,2
e001024,48,남,30,6,2,7,2,2,6,7,4,3,1,2,1
e001025,41,남,30,4,2,3,4,4,6,2,7,2,3,1,1
e001026,41,남,30,2,2,3,3,2,4,2,6,3,1,2,1
e001029,48,남,50,3,4,3,3,5,4,3,5,3,1,7,2
e001030,11,남,50,4,4,5,4,4,3,4,4,3,1,9,5
e001031,28,여,20,2,3,2,4,5,4,3,7,5,2,1,1
e001032,42,여,30,6,3,6,2,2,6,6,3,1,2,8,0
e001033,11,여,30,2,2,2,1,5,3,5,7,1,2,6,0
e001040,11,남,30,5,2,5,3,5,5,3,5,4,7,2,1
e001041,11,여,40,6,6,6,5,5,5,5,5,3,2,1,3
e001045,26,남,30,4,3,3,2,5,4,1,6,8,1,7,0
e001049,11,여,40,1,1,7,3,1,4,6,7,10,9,3,1
e001052,28,여,30,2,2,1,1,2,3,3,7,7,1,,0
e001057,41,남,60,7,7,7,4,7,4,4,4,3,1,4,3
e001059,41,남,30,1,1,1,4,4,1,4,7,3,1,9,1
e001060,28,남,30,2,2,2,4,4,6,1,7,3,1,5,3
e001061,41,여,30,4,3,3,6,6,2,1,4,5,10,4,0
e001062,41,남,40,1,7,1,1,7,1,7,1,2,3,1,7
e001063,41,남,30,4,2,3,3,4,4,5,3,3,1,,1
e001068,11,남,40,1,3,1,4,5,2,6,3,1,3,6,4
e001069,41,남,30,1,1,1,1,6,2,1,7,2,9,5,1
e001070,11,여,20,7,2,2,2,2,2,1,7,1,2,3,1
e001071,11,여,30,4,3,3,4,2,6,6,5,5,10,,0
e001078,41,여,30,2,2,2,1,1,2,2,2,1,7,8,4
e001079,41,여,30,4,6,3,3,4,4,3,6,3,2,5,1
e001081,11,남,30,2,4,1,5,2,2,3,3,3,2,1,1
e001084,41,남,60,2,4,6,6,3,5,6,6,2,9,1,8
e001085,41,남,40,1,4,2,4,6,3,4,4,2,1,3,1
e001093,41,여,30,2,4,2,4,3,4,3,7,2,1,7,1
e001097,41,여,40,2,2,2,2,4,4,2,7,8,3,7,1
e001098,11,여,30,6,2,3,4,5,2,5,4,1,3,2,1
e001103,41,여,40,1,1,4,4,2,2,3,6,2,3,1,2
e001104,43,여,20,6,2,2,2,5,4,3,5,7,1,3,1
