place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2308200008,CU 여수 진남점,CU여수진남점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308200009,987피자,987피자,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308200010,BBQ 강릉 라카 유리조트 실내 출점,BBQ 강릉라카이리조트실내풀점,강원도,식당/카페,실내,11,5,Summer,1;10;12;13;2
2308200011,GS25 경포 라카 이점,GS25경포라카이점,전라남도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,4,Summer,1;11;12;2;21
2308200017,세븐일레븐 서귀포 엠스테이점,,제주특별자치도,상점,실내,10,1,Summer,12;2;3;5;6
2308210001,88생선 구이,88생선구이,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308210002,9.81파크,9.81파크,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308210003,강문해변,2001아울렛 구로점,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308210004,제주동문시장,2001아울렛 구로점,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308210005,제주동문시장,제주동문시장,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308210006,아르떼 뮤지엄 강릉,아르떼뮤지엄 강릉,전라남도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308210008,경동시장,2001아울렛 구로점,강원도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308210009,갤러리아백화점 센터시티점,갤러리아백화점 센터시티점,강원도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,4,Summer,1;10;12;13;2
2308210010,경포해수욕장,경포해수욕장,충청남도,"상업지구(거리, 시장, 쇼핑시설)",실내,4,4,Summer,1;10;12;13;2
2308210012,강문해변,강문해변,제주특별자치도,식당/카페,실내,11,5,Summer,1;12;13;2;21
2308210013,경포대,경포대,경기도,자연관광지,실외,1,4,Summer,1;12;13;2;21
2308210014,경포 호수광장,경포호수광장,제주특별자치도,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실외,2,3,Summer,1;12;2;22;23
2308220001,꽃동 게장 1번가,꽃돌게장1번가,전라남도,식당/카페,실내,11,6,Summer,1;10;11;12;2
2308220002,올래국수 본점,올래국수 본점,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;2
2308220003,제주동문시장,제주동문시장,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308220004,이호 테우해수욕장,2001아울렛 구로점,경상북도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308220005,제주동문시장,제주동문시장,경기도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308220006,여수 게장 낭만 별식,여수게장낭만별식,제주특별자치도,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308220007,GS25 제주 함덕점,2001아울렛 구로점,강원도,식당/카페,실내,11,6,Summer,1;10;11;12;13
2308220008,서귀포 매일 올레시장,서귀포매일올레시장,서울특별시,식당/카페,실내,11,5,Summer,1;10;11;12;2
2308220010,해운대해수욕장,해운대해수욕장,부산광역시,식당/카페,실내,11,5,Summer,1;10;11;12;13
2308220011,강릉 중앙시장,강릉중앙시장,강원도,식당/카페,실내,11,5,Summer,1;12;2;21;22
2308220014,GS25 전주 교대점,GS25전주교대점,경기도,자연관광지,실외,1,5,Summer,1;11;12;2;21
2308230001,강릉 치킨,(사)대전광역시관광협회-트래블라운지,제주특별자치도,식당/카페,실내,11,6,Summer,1;10;11;12;13
