place_id,여행지명,여행지설명,city,분류,activity_type,activity_ids,activity_level,season_preference,emotion_match
2305200005,WI 컨벤션,WI컨벤션,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;6;7,7.0,Spring,
2305200006,체크인,체크인,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2305200007,베스티안 오피스텔,베스티안,Unknown,친구/친지집,Unknown,1;2;3;4;5;6;7,7.0,Spring,
2305210001,더블 해피니스,더블해피니스,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305210002,서울숲 카페거리,서울숲카페거리,Unknown,"상업지구(거리, 시장, 쇼핑시설)",실내,1;2;3;4;5;6;7,7.0,Spring,
2305210003,유즈풀아뜰리에,유즈풀아뜰리에,Unknown,식당/카페,실내,1;2;3;4;5;6;7,7.0,Spring,
2305210004,서울숲,서울숲,Unknown,"산책로, 둘레길 등",실외,1;2;3;4;5;6;7,7.0,Spring,
2305210005,LCDC 서울,LCDC서울,Unknown,상점,Unknown,1;2;3;4;5;6,6.0,Spring,
2305210006,bd 버거 성수,BHC치킨,Unknown,식당/카페,실내,1;2;3;4;5;6,6.0,Spring,
2305210002,연천 전곡리 선사유적지,연천전곡리선사유적지,Unknown,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",실내,1;2;3;4;5;6;7,7.0,Spring,
